Name,mach,aoa-deg,beta,vx,vy,vz,temp,dens,pres,visc,sos,velocity,drag_coeff,Iterations,drag_force,lift_coeff,lift_force,moment,roll_mom,yaw_mom,q,sideforce,Last Updated
Case_31,4.11229563,-9.529192079,3.60181209,0.99187285,-0.071589259,0.105181882,288.15,1.225,101325,0.0000179,340.2626486,1769.88412,0.085080033,15014,1061.003262,0.522019566,6509.923016,1845.510726,-3.119204883,-1113.279132,-12140.73774,-2811.7049,
Case_32,2.906121041,4.39192745,0.317817819,0.99889643,-0.046576372,0.006046846,288.15,1.225,101325,0.0000179,340.2626486,2559.07975,0.034759385,15014,906.2314566,-7.9148E-05,-2.063513142,-176.2212809,-1.872795707,-418.3724061,-6289.516157,-1175.7322,
Case_4,7.88343221,1.209206227,0.200723648,0.99977117,-0.003503281,0.021102934,288.15,1.225,101325,0.0000179,340.2626486,2682.43752,0.067030134,15014,1920.121569,0.015729208,450.5733377,-986.4870465,6.552688631,-179.7043725,-43707.71632,-410.3456,
Case_40,3.96146643,6.570874054,2.730547077,0.990009531,-0.007186216,0.140817208,288.15,1.225,101325,0.0000179,340.2626486,2052.81903,0.058894598,15014,988.0438154,0.506384156,8495.341616,2487.159342,0.238232478,-103.6653262,-11224.16753,-242.00891,
Case_41,3.533051915,3.547387344,4.097266771,0.98463427,-0.046473598,-0.168331696,288.15,1.225,101325,0.0000179,340.2626486,2334.14309,0.061132746,15014,1325.953408,-0.457049112,-9913.27673,-3863.72703,15.4006793,-1332.61726,-8984.104433,-3589.6602,
Case_42,3.175041393,-7.83686115,1.769420512,0.995763701,-0.06900427,-0.06077057,288.15,1.225,101325,0.0000179,340.2626486,2550.66939,0.039618733,15014,1026.144057,-0.115809004,-2999.508328,-1263.034662,19.51917034,-1056.971715,-7365.269428,-2893.6977,
Case_43,4.841723535,0.538317634,4.90099128,0.992030095,-0.052309599,-0.114629822,288.15,1.225,101325,0.0000179,340.2626486,2418.15059,0.074127819,15014,1725.628539,-0.476553394,-11093.73172,-4603.526754,55.78414817,-2070.498836,-16603.99405,-5395.9866,
Case_44,4.520757024,-6.919054248,2.458598368,0.999477017,-0.02080291,0.024757446,288.15,1.225,101325,0.0000179,340.2626486,1868.13192,0.088286106,15014,1226.610982,0.082667941,1148.554504,-59.14569535,6.222441122,-390.2418184,-14749.24724,-1010.1622,
Case_45,4.392467787,-8.661626311,2.054160795,0.995946001,-0.078718456,-0.04353122,288.15,1.225,101325,0.0000179,340.2626486,2006.84416,0.084616541,13536,1356.694216,-0.271182244,-4347.984168,-1959.344581,62.09021632,-2029.579752,-13777.84821,-5232.7456,
Case_46,2.526078977,1.772603957,2.647079788,0.999840963,-0.017833551,-0.00011646,288.15,1.225,101325,0.0000179,340.2626486,1877.41373,0.057641525,15014,808.8255327,-0.00609331,-85.50129506,-158.5254786,-1.292572879,-123.5358541,-4828.932728,-357.35117,
Case_47,3.269158816,8.140069453,0.003937552,0.996602674,-0.038265583,-0.072930486,288.15,1.225,101325,0.0000179,340.2626486,2097.80951,0.060367043,15014,1057.624278,-0.204769941,-3587.54793,-1506.0534,11.13244223,-654.2310648,-7803.917352,-1791.2329,
Case_48,3.738335353,3.085106148,0.779506924,0.99793941,-0.052902805,0.036307401,288.15,1.225,101325,0.0000179,340.2626486,2594.21622,0.039928306,15014,1069.775474,0.054969731,1472.771452,194.9853046,0.941451822,-691.9169291,-10181.06133,-1864.3853,
